slug	name	type	status	path	live	tags	desc
project_dogsgame	DOGSGAME (4DOGS)	project	ACTIVE	C:\Dev\DOGSGAME		game text-adventure narrative vanilla-js python	Noir text-adventure life-sim prototype based on four real dogs in Sultan, WA; encounter-driven.
project_draftacademy	Draft Academy	project		C:\Dev\draft-academy	https://t3dy.github.io/draft-academy/	education mtg data-engineering react	An educational site teaching data engineering, statistics, and AI engineering through MTG draft analysis and 17Lands data.
project_dungeonarchitect	dungeon-architect	project		C:\Dev\dungeon-architect		learning decision-engine react xstate	A gamified learning system framing a decision engine with a dungeon-exploration metaphor, built on XState and SQLite.
project_emblemnovel	EmblemNovel	project		C:\Dev\EmblemNovel		game narrative alchemy atalanta-fugiens	A graphical text adventure reimagining the Emblem Knight roguelike as narrative exploration through emblem-drawn worlds.
project_emblemprintshop	Emblem Print Shop	project		C:\Dev\EmblemPrintShop		alchemy emblems computer-vision extraction grounding-dino sam dh catalog iconography	A local, no-API computer-vision pipeline that cuts every figure out of early modern alchemical emblems into a tagged, citable library of 7,097 transparent-PNG "
project_emblemroguelike	EmblemRoguelike	project		C:\Dev\EmblemRoguelike	https://t3dy.github.io/EmblemRoguelike/	game alchemy atalanta-fugiens roguelike	A Dragon Warrior–style RPG and permadeath roguelike whose art is built entirely from extracted Atalanta Fugiens engravings.
project_emblemsin3d	EMBLEMSIN3D	project	ACTIVE	C:\Dev\EMBLEMSIN3D		3d emblems threejs atalanta webaudio	Walkable three.js 3D worlds rendering Maier's Atalanta Fugiens emblems as carved woodcut reliefs with 8-bit fugues.
project_emeraldtablet	Project: HermeticDB (EmeraldTablet)	project		C:\Dev\EmeraldTablet		hermeticism digital-humanities encyclopedia sqlite static-site	Authoritative scholarly reference portal for the history of Hermeticism. SQLite → Python → static HTML/CSS/JS → GitHub Pages. Modeled on the Dictionary of Gnosi
project_esofeed	ESOFEED	project	ACTIVE	C:\Dev\ESOFEED		aggregator static-site esoteric python dh	Active expansion fork of EsotericBeatNews — a dark-academic static aggregator of esoteric-studies podcasts/YouTube into one feed.
project_esotericbeatnews	Esoteric Beat News	project		C:\Dev\EsotericBeatNews	https://t3dy.github.io/EsotericBeatNews/	static-site aggregator esoteric-studies python yt-dlp github-pages json-catalog	A dependency-free static site that aggregates the complete back catalogues of ~30 esoteric-studies podcasts/YouTube channels (~3,000 episodes) into one card fee
project_esotericshowcase	EsotericProjectsShowcase	project		C:\Dev\EsotericProjectsShowcase	https://t3dy.github.io/EsotericProjectsShowcase/	showcase index esoteric dh	A single-page index of the workspace's esoteric/alchemical digital humanities databases, image tools, and games.
project_framework	DH Framework Scaffolder			C:\Dev\framework			A Python-based CLI tool (`new_project.py`) designed to automatically scaffold new digital humanities projects. It replicates the battle-tested architecture patt
project_fuguejukebox	FUGUEJUKEBOX	project	STABLE	C:\Dev\FUGUEJUKEBOX		audio chiptune atalanta python pipeline	NES-style chiptune variations of Maier's 50 Atalanta Fugiens emblem fugues — 10 treatments per emblem, 500 MP3s.
project_glassbeadgame	Glass Bead Game	project		C:\Dev\glassbeadgame	https://t3dy.github.io/GlassBeadWebGame/	react typescript vite game esoteric hesse leary raw alchemy deckard-boundary grounding-rule knowledge-portals supabase	A browser Glasperlenspiel — place esoteric-history "beads," qualify them with alchemical glyph attributes, and let the engine derive grounded relations between 
project_hpin3d	HPin3D (Emblems in 3D)	project	ACTIVE	C:\Dev\HPin3D		3d emblems threejs hypnerotomachia atalanta	3D web viewer turning Hypnerotomachia Poliphili and Atalanta Fugiens emblems into explorable alchemical worlds.
project_hypnerotomachia	Hypnerotomachia Poliphili Marginalia			C:\Dev\hypnerotomachia polyphili			A project documenting the readership, marginalia, and scholarly reception of the *Hypnerotomachia Poliphili* (Venice: Aldus Manutius, 1499), directly building o
project_illuminatus	Project: Illuminatus! Trilogy Knowledge Portal	project		C:\dev\wiki		illuminatus robert-anton-wilson digital-humanities map thelema qabalah crowleydb	A digital humanities portal for Robert Anton Wilson and Robert Shea's *Illuminatus! Trilogy*, with interactive place mapping, split-pane reading, and CrowleyDB-
project_illuminatus_raw	RAW Section: Robert Anton Wilson Biography and Bibliography	project		E:\pdf\RAW		raw robert-anton-wilson bibliography biography media illuminatus	Bibliography hub for Robert Anton Wilson inside the Illuminatus portal: biography, books, internet writings, zines, audio, and video.
project_illuminatus_styleguide	Style Guide: Illuminatus! Trilogy Knowledge Portal	styleguide				illuminatus styleguide editorial academic-writing encyclopedia	Editorial standards, length requirements, and section templates for the Illuminatus portal and RAW subsection.
project_magicallatin	MagicalLatin	project		C:\Dev\MagicalLatin		latin education game magic	A gamified Latin reader for magical texts, with vocabulary tracking, XP, an alchemy lab, and ritual walkthroughs.
project_marxistportal	MarxistPortal			C:\Dev\MarxistPortal			A companion website to the Capital RAG project providing a curated, guided tour of the Marxist intellectual tradition. It features a dictionary of terms, chrono
project_medievalmagicdb	MedievalMagicDB	project		C:\Dev\MedievalMagicDB	https://t3dy.github.io/MedievalMagicDB/	database medieval-magic dh emeraldtablet-framework	A scholarly knowledge portal for medieval magic — ritual practice, image magic, necromancy, grimoires, and historiography.
project_megabase	Dreambase (megabase)			C:\Dev\megabase			A comprehensive system that unifies two years of LLM conversations, social media, email, and text messages into a single searchable SQLite database. It surfaces
project_memorypalace	MemoryPalace	project	ACTIVE	C:\Dev\MemoryPalace		wiki frontend dh static-site memory	Illustrated browsable front-end over the C:\Dev\wiki, staged as Camillo's seven-tier Theatre of Memory.
project_mtgoverlay	MTG Overlay Suite			C:\olddevprojects\MTGOverlay			A suite of legacy applications originally designed to provide streaming or drafting overlays for Magic: The Gathering gameplay.
project_mtgslider	MTGSLIDER	project	STABLE	C:\Dev\MTGSLIDER		mtg scryfall python pipeline pptx	MTG thematic-research pipeline — theme → Scryfall search → curation → image fetch → packet → PowerPoint slideshow.
project_neoplatonism	neoplatonism-portal	project		C:\Dev\neoplatonism-portal		neoplatonism philosophy database dh	A concept-first encyclopedia of Neoplatonic philosophy from Plotinus through Ficino, navigated by idea rather than chronology.
project_nesmusictools	NES Music Tools (cluster)	project	ACTIVE			music nes chiptune reaper python cluster	A family of NES/chiptune → REAPER music tools (extraction, MIDI, 2A03 synth, render pipelines) descending from NSFRIPPER.
project_nsfripper	NSFRIPPER & NES Music Lab			C:\Dev\NSFRIPPER			The NSFRIPPER ecosystem is dedicated to the strict, provenance-aware reverse-engineering of classic NES audio engines (specifically Konami's custom sound driver
project_occultimgdb	OCCULTIMGDB (Occult Image DB)	project		C:\Dev\OCCULTIMGDB		alchemy occult image-archive static-site game-assets public-domain	A browsable, scholarly-cataloged archive of **whole illustrations** from the alchemical and occult
project_pico	Project: Pico della Mirandola Knowledge Portal	project		C:\Dev\PicoDB	https://github.com/t3dy/PicoDB	pico renaissance magic kabbalah platonism digital-humanities knowledge-portal	A digital humanities knowledge portal for Giovanni Pico della Mirandola, his primary texts, modern scholarship, and debates around magic, Kabbalah, Platonism, A
project_pkdfestsite	PKD Fest Site	project	STABLE	C:\Dev\pkd-fest-site		pkd event-site nextjs vercel	Official site for the 4th International Philip K. Dick Festival (Aug 20–23, 2026, Cal State Fullerton).
project_pkdplanningsite	PKD Planning Site	project	STABLE	C:\Dev\pkd-planning-site		pkd claude-code tooling vite showcase	Single-page site teaching the "PKD Planning System" — 33 Claude Code slash commands named after Philip K. Dick characters.
project_querypat	QueryPat (Philip K. Dick Knowledge Portal)			C:\querypat			A comprehensive scholarly knowledge portal about Philip K. Dick (1928–1982), covering his life, fiction, *Exegesis*, correspondence, and academic reception. It 
project_renaissancemagic	RenMagDB (Renaissance Magic)			C:\Dev\renaissance magic			A digital humanities project cataloging a research corpus of 337 scholarly documents on Renaissance magic. It covers figures ranging from Marsilio Ficino to Joh
project_shakespeare	Shakespeare Sonnets DH Site			C:\Dev\Shakespeare			A digital humanities website presenting Shakespeare's 154 Sonnets through four scholarly pillars: close-reading Analyses, line-by-line Directing notes, historic
project_smwebmastersite	SM Webmaster Site	project	STABLE	C:\Dev\sm-webmaster-site		societas-magica static-site society webmaster	Webmaster field guide plus a full static replica of the Societas Magica society website.
project_socialsdb	SocialsDB			C:\Dev\SocialsDB			A unified personal data mining hub that integrates conversations from Megabase, Claude Data, GPT Archive, and SMS archives into a single queryable system.
project_socmagweb	Societas Magica Webmaster (SocMagWeb)	project		C:\Dev\SocMagWeb	https://societas-magica-webmaster.vercel.app	nextjs postgres drizzle tdd orchestrator admin-panel scholarly-society	Modernization of the 14-year-old societasmagica.org admin platform — Next.js + Postgres, built test-first under an in-repo agile+wiki orchestrator.
project_tarotdev	Tarot Dev	project		C:\Dev\Tarot Dev		tarot database dh	A tarot knowledge database built on a dialectical, non-mystical, structurally attentive interpretive philosophy.
project_tarotmeditation	TarotMeditation	project	STABLE	C:\Dev\TarotMeditation		tarot canvas annotation static-site	Browser canvas annotator for marking up tarot card images with Sefiroth / Tree-of-Life overlays.
project_theosophicalalchemydb	TheosophicalAlchemyDB	project		C:\Dev\TheosophicalAlchemyDB	https://t3dy.github.io/TheosophicalAlchemyDB/	database rosicrucian alchemy dh	A concept-first scholarly encyclopedia of Rosicrucian and theosophical-alchemical traditions of the 16th–18th centuries.
project_treetapper	TreeTapper			C:\olddevprojects\TreeTapper			An older development project focusing on mobile/clicker game mechanics, built using web technologies and packaged for mobile devices via Capacitor.
project_vibecoding	Vibe Coding Garage (VCG)			C:\Dev\vibe-coding-garage			The Vibe Coding Garage represents an early exploration into Discord bots and community-driven coding interaction. It acts as an integration layer between indivi
project_witchcraftstudiesdb	WitchcraftStudiesDB	project		C:\Dev\WitchcraftStudiesDB		database witchcraft historiography dh	A historiographically rigorous witchcraft-studies portal synthesizing Clark, Hutton, and Ginzburg over 320+ sourced entries.
project_witcherportal	WitcherPortal	project		C:\Dev\witcherportal		folklore slavic witcher database dh	A DH portal on the Eastern European folklore, history, and magic behind Sapkowski's Witcher saga.
project_zorziharmoniamundi	ZorziHarmoniaMundi	project		C:\Dev\ZorziHarmoniaMundi	https://t3dy.github.io/ZorziHarmoniaMundi/	christian-kabbalah renaissance dh summaries	A browse-and-search site of scholarly summaries for all 163 sections of Francesco Zorzi's De Harmonia Mundi (Campanini edition).
goetia_sigil_analysis	Goetia Sigil Analysis	project-ontology		C:\Dev\GoetiaRevEng	https://t3dy.github.io/goetia-sigil-analysis/	goetia sigils computer-vision reverse-engineering kabbalah kamea gematria DH	Computational reverse-engineering of the 72 demonic seals from the *Goetia of Dr. Rudd* (British Library Harley MS 6483 / Sloane MS 3825). The project treats th
